Pays membres de l'OCDE,OED,1300865255
Oman,OMN,4636262
Autres petits états,OSS,30621014
Pakistan,PAK,197015955
Panama,PAN,4098587
Pérou,PER,32165485
Philippines,PHL,104918090
Palaos,PLW,21729
Papouasie-Nouvelle-Guinée,PNG,8251162
Pologne,POL,37975841
de Pré-dividende démographique,PRE,904399841
Porto Rico,PRI,3337177
"Corée, République démocratique de",PRK,25490965
Portugal,PRT,10293718
Paraguay,PRY,6811297
Cisjordanie et Gaza,PSE,4684777
Petits états insulaires du Pacifique,PSS,2419188
de Post-dividende démographique,PST,1107374909
Polynésie française,PYF,283007
Qatar,QAT,2639211
Roumanie,ROU,19586539
Fédération de Russie,RUS,144495044
Rwanda,RWA,12208407
Asie du Sud,SAS,1788388852
Arabie saoudite,SAU,32938213
Soudan,SDN,40533330
Sénégal,SEN,15850567
Singapour,SGP,5612253
Îles Salomon,SLB,611343
Sierra Leone,SLE,7557212
El Salvador,SLV,6377853
Saint-Marin,SMR,33400
Somalie,SOM,14742523
Serbie,SRB,7022268
Afrique subsaharienne (hors revenu élevé),SSA,1061011878
Soudan du Sud,SSD,12575714
Afrique subsaharienne,SSF,1061107721
Petits états,SST,40324496
Sao Tomé-et-Principe,STP,204327
Suriname,SUR,563402
République slovaque,SVK,5439892
Slovénie,SVN,2066748
Suède,SWE,10067744
Eswatini,SWZ,1367254
Sint Maarten (Dutch part),SXM,41109
Seychelles,SYC,95843
République arabe syrienne,SYR,18269868
Îles Turques-et-Caïques,TCA,35446
Tchad,TCD,14899994
Asie de l’Est et Pacifique (BIRD et IDA),TEA,2042783496
Europe et Asie centrale (BIRD et IDA),TEC,457647735
Togo,TGO,7797694
Thaïlande,THA,69037513
Tadjikistan,TJK,8921343
Turkménistan,TKM,5758075
Amérique latine et Caraïbes (BIRD et IDA),TLA,628059792
Timor-Leste,TLS,1296311
Afrique du Nord et Moyen-Orient (BIRD et IDA),TMN,375217005
Tonga,TON,108020
Asie du Sud (BIRD et IDA),TSA,1788388852
Afrique subsaharienne (BIRD et IDA),TSS,1061107721
Trinité-et-Tobago,TTO,1369125
Tunisie,TUN,11532127
Turquie,TUR,80745020
Tuvalu,TUV,11192
Tanzanie,TZA,57310019
Ouganda,UGA,42862958
Ukraine,UKR,44831159
"Revenu intermédiaire, tranche supérieure",UMC,2576202556
Uruguay,URY,3456750
États-Unis,USA,325719178
Ouzbékistan,UZB,32387200
Saint-Vincent-et-les Grenadines,VCT,109897
Venezuela,VEN,31977065
Îles Vierges britanniques,VGB,31196
Îles Vierges (EU),VIR,107268
Viet Nam,VNM,95540800
Vanuatu,VUT,276244
Monde,WLD,7530360149
Samoa,WSM,196440
Kosovo,XKX,1830700
"Yémen, Rép. du",YEM,28250420
Afrique du Sud,ZAF,56717156
Zambie,ZMB,17094130
Zimbabwe,ZWE,16529904
